objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
del_monte001,Del_Monte.jpg,Folder Contents,Del Monte Folder Contents,Del Monte,,Lode,,,Folder Contents,Contents;Del Monte,Beaverhead,Beaverhead,Blue Wing,7S,11W,28,45.1947,-112.9597,,,Image;StillImage,image/jpeg,eng,Around Kent Mine,,
dexter_mine001,Dexter_Mine.jpg,Folder Contents,Dexter Mine Folder Contents,Dexter Mine,,Lode,,,Folder Contents,Contents;Dexter Mine,Beaverhead,Beaverhead,Argenta,6S,10W,17,45.3158,-112.8636,,,Image;StillImage,image/jpeg,eng,"Around May Day, Tuscarora, Gov. Tilden; Rosemont Mines",,
diadem_mine001,Diadem_Mine.jpg,Folder Contents,Diadem Mine Folder Contents,Diadem Mine,,Lode,,,Folder Contents,Contents;Diadem Mine,Beaverhead,Beaverhead,Wisdom,3S,14W,7,45.585,-113.3706,,,Image;StillImage,image/jpeg,eng,"A/K/A Arnold Mine; Incl.: Cabin, Lode Star; Mayflower; Ruth Arnold, Sylvia, Golden Eagle",,
diamond001,Diamond.jpg,Folder Contents,Diamond Folder Contents,Diamond,9924D,Lode,,,Folder Contents,Contents;Diamond,Beaverhead,Beaverhead,Elkhorn,4S,12W,15,45.487,-113.0692,,,Image;StillImage,image/jpeg,eng,,,
dillon_mine001,Dillon_Mine.jpg,Folder Contents,Dillon Mine Folder Contents,Dillon Mine,,Lode,,,Folder Contents,Contents;Dillon Mine,Beaverhead,Beaverhead,Bald Mountain,6S,12W,23,45.3039,-113.0406,,,Image;StillImage,image/jpeg,eng,"Around Polaris, Silver King, Faithful, Nick Preen",,
dillon_nickel001,Dillon_Nickel.jpg,Folder Contents,Dillon Nickel Folder Contents,Dillon Nickel,,Lode,,,Folder Contents,Contents;Dillon Nickel,Beaverhead,Beaverhead,Blacktail,9S,7W,2,45.0808,-112.4253,,,Image;StillImage,image/jpeg,eng,Nickel Lode Claims.  A/K/A Wolf Creek,,
discolor001,Discolor.jpg,Folder Contents,Discolor Folder Contents,Discolor,10664,Lode,,,Folder Contents,Contents;Discolor,Beaverhead,Beaverhead,Bloody Dick,10S,14W,5,44.99694,-113.33944,,,Image;StillImage,image/jpeg,eng,"Clipper, Eagle Prospect, Finvalley, Royal, Starlight",,
doodle_bug001,Doodle_Bug.jpg,Folder Contents,Doodle Bug Folder Contents,Doodle Bug,,Lode,,,Folder Contents,Contents;Doodle Bug,Beaverhead,Beaverhead,Argenta,11S,13W,10,44.8956,-113.1706,,,Image;StillImage,image/jpeg,eng,Doodle Bug,,
dubious001,Dubious.jpg,Folder Contents,Dubious Folder Contents,Dubious,9847,Lode,,,Folder Contents,Contents;Dubious,Beaverhead,Beaverhead,Elkhorn,4S,12W,15,45.48599,-113.0705,,,Image;StillImage,image/jpeg,eng,Dubious,,
dubuque001,Dubuque.jpg,Folder Contents,Dubuque Folder Contents,Dubuque,10128,Lode,,,Folder Contents,Contents;Dubuque,Beaverhead,Beaverhead,Bryant,,,,,,,,Image;StillImage,image/jpeg,eng,Dubuque,,
dyce_creek_placer001,Dyce_Creek_Placer.jpg,Folder Contents,Dyce Creek Placer Folder Contents,Dyce Creek Placer,,Placer,,,Folder Contents,Contents;Dyce Creek Placer,Beaverhead,Beaverhead,Bald Mountain,6S,12W,26,45.28623,-113.03968,,,Image;StillImage,image/jpeg,eng,,,
eagle001,Eagle.jpg,Folder Contents,Eagle Folder Contents,Eagle,,Lode,,,Folder Contents,Contents;Eagle,Beaverhead,Beaverhead,Beaverhead,10S,14W,5,44.99412,-113.34622,,,Image;StillImage,image/jpeg,eng,"Around Clipper, Starlight, Finvalley, Discolor, Royal",,
echo_lode001,Echo_Lode.jpg,Folder Contents,Echo Lode Folder Contents,Echo Lode,,Lode,,,Folder Contents,Contents;Echo Lode,Beaverhead,Beaverhead,Bald Mountain,6S,12W,11,45.3242,-113.0344,,,Image;StillImage,image/jpeg,eng,,,
elk_creek_vermiculite001,Elk_Creek_Vermiculite.jpg,Folder Contents,Elk Creek Vermiculite Folder Contents,Elk Creek Vermiculite,,Lode,,,Folder Contents,Contents;Elk Creek Vermiculite,Beaverhead,Beaverhead,,,,,,,,,Image;StillImage,image/jpeg,eng,,,
elkhorn001,Elkhorn.jpg,Folder Contents,Elkhorn Folder Contents,Elkhorn,9847,Lode,,,Folder Contents,Contents;Elkhorn,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.48989,-113.03979,,,Image;StillImage,image/jpeg,eng,"Elkhorn - Idanha #2 Copper Queen, Red Sky, St. Louis, Storm, Mono, Blue Eyed Annie, Atlas, Simpson, Mammoth, Ajax, Central, Golden Eagle, Governor",,
elm_orlu001,Elm_Orlu.jpg,Folder Contents,Elm Orlu Folder Contents,Elm Orlu,,Lode,,,Folder Contents,Contents;Elm Orlu,Beaverhead,Beaverhead,Bryant,3S,11W,11,45.1531,-112.9768,,,Image;StillImage,image/jpeg,eng,"A/K/A Keokuk; Fraction; Minnie Gaffney; Forest Queen; Bonaparte, Moffet, Maynard",,
empire001,Empire.jpg,Folder Contents,Empire Folder Contents,Empire,2982,Lode,,,Folder Contents,Contents;Empire,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.26833,-112.91833,,,Image;StillImage,image/jpeg,eng,French Millsite,,
ermont001,Ermont.jpg,Folder Contents,Ermont Folder Contents,Ermont,,Lode,,,Folder Contents,Contents;Ermont,Beaverhead,Beaverhead,Argenta,6S,11W,35,46.246389,-112.866019,,,Image;StillImage,image/jpeg,eng,"Includes Ermont Nos. 2, 19; A/K/A Ermont Group",,
ermont_placer001,Ermont_Placer.jpg,Folder Contents,Ermont Placer Folder Contents,Ermont Placer,,Placer,,,Folder Contents,Contents;Ermont Placer,Beaverhead,Beaverhead,Argenta,7S,10W,5,45.487,-113.0692,,,Image;StillImage,image/jpeg,eng,Orvana Reconnaissance,,
evolution001,Evolution.jpg,Folder Contents,Evolution Folder Contents,Evolution,,Lode,,,Folder Contents,Contents;Evolution,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.1494,-112.9786,,,Image;StillImage,image/jpeg,eng,"Around Atlas, Storm, Diamond, Loss Cloud",,
excelsior001,Excelsior.jpg,Folder Contents,Excelsior Folder Contents,Excelsior,234,Lode,,,Folder Contents,Contents;Excelsior,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1494,-112.9786,,,Image;StillImage,image/jpeg,eng,"Around Hendricks, Golden Leaf, Blue Grass, Gold Bug, Dakota",,
fair_play001,Fair_Play.jpg,Folder Contents,Fair Play Folder Contents,Fair Play,8655,Lode,,,Folder Contents,Contents;Fair Play,Beaverhead,Beaverhead,Bloody Dick,10S,14W,,44.9494,-113.3241,,,Image;StillImage,image/jpeg,eng,,,
fairview001,Fairview.jpg,Folder Contents,Fairview Folder Contents,Fairview,,Lode,,,Folder Contents,Contents;Fairview,Beaverhead,Beaverhead,Utopia,5S,10W,1,45.4286,-112.7836,,,Image;StillImage,image/jpeg,eng,Fairview,,
faithful_bald_mtn001,Faithful_Bald_Mtn.jpg,Folder Contents,Faithful Bald Mtn Folder Contents,Faithful Bald Mtn,,Lode,,,Folder Contents,Contents;Faithful Bald Mtn,Beaverhead,Beaverhead,Bald Mountain,6S,12W,24,45.6922,-112.9469,,,Image;StillImage,image/jpeg,eng,"Alice, Capitol, Cable, Sunrise, Old Favorite, Around Gray (Grey) Jockey, Sheep Mountain",,
faithful_vipond_park001,Faithful_Vipond_Park.jpg,Folder Contents,Faithful Vipond Park Folder Contents,Faithful Vipond Park,4801,Lode,,,Folder Contents,Contents;Faithful Vipond Park,Beaverhead,Beaverhead,Vipond Park,2S,11W,3,45.6992,-112.9469,,,Image;StillImage,image/jpeg,eng,"Alice, Capitol, Cable, Sunrise, Old Favorite, Around Gray (Grey) Jockey, Sheep Mountain",,
ferdinand001,Ferdinand.jpg,Folder Contents,Ferdinand Folder Contents,Ferdinand,,Lode,,,Folder Contents,Contents;Ferdinand,Beaverhead,Beaverhead,Argenta,6S,10W,29,45.28056,-112.85444,,,Image;StillImage,image/jpeg,eng,"Around Norman, Belle, Magnolia",,
finvalley001,Finvalley.jpg,Folder Contents,Finvalley Folder Contents,Finvalley,10664,Lode,,,Folder Contents,Contents;Finvalley,Beaverhead,Beaverhead,Bloody Dick,10S,14W,5,44.99694,-113.33944,,,Image;StillImage,image/jpeg,eng,"Clipper, Discolor, Eagle Prospect, Royal, Starlight",,
florence001,Florence.jpg,Folder Contents,Florence Folder Contents,Florence,10628,Lode,,,Folder Contents,Contents;Florence,Beaverhead,Beaverhead,Utopia,5S,10W,22,45.3806,-112.8333,,,Image;StillImage,image/jpeg,eng,Around White's Bar,,
ajax006,Forms_Ajax_Mine_MBMG_Mine_Status_Card_1969_1970_1971_1972.pdf,Forms,Ajax Status Cards,Ajax,,Placer,Clay Jenkins,1972,Ajax Status cards,Forms; Ajax Mine; Cards,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-80,,
ajax007,Forms_Ajax_Mine_MBMG_Mine_Status_Card_1973_1974_1975_1976.pdf,Forms,Ajax Status Cards,Ajax,,Placer,Clay Jenkins,1976,Ajax Status cards,Forms; Ajax Mine; Cards,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-81,,
ajax008,Forms_Ajax_Mine_MBMG_Mine_Status_Card_1977_1978_1979_1980.pdf,Forms,Ajax Status Cards,Ajax,,Placer,Clay Jenkins,1979,Ajax Status cards,Forms; Ajax Mine; Cards,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-82,,
ajax009,Forms_Ajax_Mine_MBMG_Mine_Status_Card_1981_1982_1983_1984.pdf,Forms,Ajax Status Cards,Ajax,,Placer,Clay Jenkins,1984,Ajax Status cards,Forms; Ajax Mine; Cards,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-83,,
ajax010,Forms_Ajax_Mine_MBMG_Mine_Status_Card_1985_1986.pdf,Forms,Ajax Status Cards,Ajax,,Placer,Clay Jenkins,1986,Ajax Status cards,Forms; Ajax Mine; Cards,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-84,,
free_silver001,Free_Silver.jpg,Folder Contents,Free Silver Folder Contents,Free Silver,5039,Lode,,,Folder Contents,Contents;Free Silver,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1531,-112.9768,,,Image;StillImage,image/jpeg,eng,French Millsite,,
french_millsite001,French_Millsite.jpg,Folder Contents,French Millsite Folder Contents,French Millsite,235,Lode,,,Folder Contents,Contents;French Millsite,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1475,-112.9853,,,Image;StillImage,image/jpeg,eng,"Empire, Springfield, Wallace, French Lode",,
galena001,Galena.jpg,Folder Contents,Galena Folder Contents,Galena,,Lode,,,Folder Contents,Contents;Galena,Beaverhead,Beaverhead,Argenta,6S,10W,17,45.31278,-112.86028,,,Image;StillImage,image/jpeg,eng,Around Dexter Mine;Coolidge; Tuscarora;Rosemont,,
gallup001,Gallup.jpg,Folder Contents,Gallup Folder Contents,Gallup,9963,Lode,,,Folder Contents,Contents;Gallup,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.7229784,-113.5195077,,,Image;StillImage,image/jpeg,eng,"Around Tom Paine, Red Sky, Violet, Montreal, Mary, Homestake",,
garret001,Garret.jpg,Folder Contents,Garret Folder Contents,Garret,,Lode,,,Folder Contents,Contents;Garret,Beaverhead,Beaverhead,Bald Mountain,6S,12W,24,45.2985,-113.0176,,,Image;StillImage,image/jpeg,eng,"Alice, Capital, Faithful; Double Eagle",,
gladstone001,Gladstone.jpg,Folder Contents,Gladstone Folder Contents,Gladstone,,Lode,,,Folder Contents,Contents;Gladstone,Beaverhead,Beaverhead,Argenta,6S,11W,13,45.30972,-112.88806,,,Image;StillImage,image/jpeg,eng,"Around Argenta, The Jack; Midnight, Sylvia, Goodview, Ground Hog Mines",,
glen_tungsten_mill001,Glen_Tungsten_Mill.jpg,Folder Contents,Glen Tungsten Mill Folder Contents,Glen Tungsten Mill,,Placer,,,Folder Contents,Contents;Glen Tungsten Mill,Beaverhead,Beaverhead,Lost Creek,4S,9W,5,45.5119,-112.7353,,,Image;StillImage,image/jpeg,eng,"Kambich Springs, Sassman Gulch",,
gold_bug001,Gold_Bug.jpg,Folder Contents,Gold Bug Folder Contents,Gold Bug,5038,Lode,,,Folder Contents,Contents;Gold Bug,Beaverhead,Beaverhead,Bannack,8S,11W,5,45.1594,-112.975,,,Image;StillImage,image/jpeg,eng,"Around Blue Grass; Ingersoll, Charter Oak, Golden Leaf",,
gold_button001,Gold_Button.jpg,Folder Contents,Gold Button Folder Contents,Gold Button,,Lode,,,Folder Contents,Contents;Gold Button,Beaverhead,Beaverhead,Bannack,,,,,,,,Image;StillImage,image/jpeg,eng,Gold Button,,
gold_crown001,Gold_Crown.jpg,Folder Contents,Gold Crown Folder Contents,Gold Crown,,Lode,,,Folder Contents,Contents;Gold Crown,Beaverhead,Beaverhead,Unorganized,7S,14W,22,45.2112,-113.2833,,,Image;StillImage,image/jpeg,eng,,,
gold_nugget001,Gold_Nugget.jpg,Folder Contents,Gold Nugget Folder Contents,Gold Nugget,,Lode,,,Folder Contents,Contents;Gold Nugget,Beaverhead,Beaverhead,,5S,10W,15,45.3996,-112.8224,,,Image;StillImage,image/jpeg,eng,Kopper Koin,,
gold_nugget_placer001,Gold_Nugget_Placer.jpg,Folder Contents,Gold Nugget Placer Folder Contents,Gold Nugget Placer,,Placer,,,Folder Contents,Contents;Gold Nugget Placer,Beaverhead,Beaverhead,Pioneer,3S,17W,30,45.5452,-113.7479,,,Image;StillImage,image/jpeg,eng,Ruby Creek Placer,,
gold_ridge_mine001,Gold_Ridge_Mine.jpg,Folder Contents,Gold Ridge Mine Folder Contents,Gold Ridge Mine,,Lode,,,Folder Contents,Contents;Gold Ridge Mine,Beaverhead,Beaverhead,Wisdom,5S,17W,26,45.3705,-113.6656,,,Image;StillImage,image/jpeg,eng,Sometimes Known As Ranger Mine,,
golden_dawn001,Golden_Dawn.jpg,Folder Contents,Golden Dawn Folder Contents,Golden Dawn,,Lode,,,Folder Contents,Contents;Golden Dawn,Beaverhead,Beaverhead,Argenta,6S,11W,24,45.2985,-112.8951,,,Image;StillImage,image/jpeg,eng,Golden Dawn,,
golden_eagle001,Golden_Eagle.jpg,Folder Contents,Golden Eagle Folder Contents,Golden Eagle,,Lode,,,Folder Contents,Contents;Golden Eagle,Beaverhead,Beaverhead,Wisdom,3S,14W,7,45.5889,-113.3777,,,Image;StillImage,image/jpeg,eng,"A/K/A Arnold Mine; Incl.: Cabin, Lode Star; Mayflower; Ruth Arnold, Sylvia, Diadem",,
golden_era001,Golden_Era.jpg,Folder Contents,Golden Era Folder Contents,Golden Era,,Lode,,,Folder Contents,Contents;Golden Era,Beaverhead,Beaverhead,Argenta,6S,11W,13,45.3178,-112.8853,,,Image;StillImage,image/jpeg,eng,Around Gold Finch; Rena; Carbonate; Argenta Mines,,
golden_gate001,Golden_Gate.jpg,Folder Contents,Golden Gate Folder Contents,Golden Gate,,Lode,,,Folder Contents,Contents;Golden Gate,Beaverhead,Beaverhead,Argenta,7S,11W,2,45.26833,-112.91,,,Image;StillImage,image/jpeg,eng,Near Ermont;,,
golden_leaf001,Golden_Leaf.jpg,Folder Contents,Golden Leaf Folder Contents,Golden Leaf,247,Lode,,,Folder Contents,Contents;Golden Leaf,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1556,-112.9844,,,Image;StillImage,image/jpeg,eng,"A/K/A Sleeping Princess; Around Excelsior, Wadams, Wallace Clms; Ingersoll Charter Oak, Gold Bug, Blue Grass Mines; Priscilla, French, Montana, Empire, Junction, Springfield",,
goldfinch001,Goldfinch.jpg,Folder Contents,Goldfinch Folder Contents,Goldfinch,,Lode,,,Folder Contents,Contents;Goldfinch,Beaverhead,Beaverhead,Argenta,6S,11W,13,45.3075,-112.9,,,Image;StillImage,image/jpeg,eng,"Near Golden Era, Dutchman, Argenta, Syulvia, Midnight Mines; Bluebird, Dolphin, Harmonn, Sunny Day, Southside, Golden Crown, Big, Caledonia, Three Cheers, All Nations Claims",,
goldmont001,Goldmont.jpg,Folder Contents,Goldmont Folder Contents,Goldmont,,Lode,,,Folder Contents,Contents;Goldmont,Beaverhead,Beaverhead,Bannack,8S,11W,5,45.1676,-112.9972,,,Image;StillImage,image/jpeg,eng,"A/K/A Southmont; Around Blue Grass, Gold Bug, Pioneer",,
goldsmith001,Goldsmith.jpg,Folder Contents,Goldsmith Folder Contents,Goldsmith,,Lode,,,Folder Contents,Contents;Goldsmith,Beaverhead,Beaverhead,Argenta,6S,10W,30,45.2878,-112.8725,,,Image;StillImage,image/jpeg,eng,"Near Tuscarora, Gov. Tilden, Florida, Wooley, Fraction, Fraction Placer, Reform, Burleigh, Spring; Mauldin, Iron Mountain Mines",,
goldstone001,Goldstone.jpg,Folder Contents,Goldstone Folder Contents,Goldstone,,Lode,,,Folder Contents,Contents;Goldstone,Beaverhead,Beaverhead,,,,,,,,,Image;StillImage,image/jpeg,eng,Near Idaho Border,,
goodview001,Goodview.jpg,Folder Contents,Goodview Folder Contents,Goodview,,Lode,,,Folder Contents,Contents;Goodview,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.30694,-112.8819,,,Image;StillImage,image/jpeg,eng,"Near Midnight, Ground Hog, Argenta, Sylvia Mines; Carbonate",,
governor001,Governor.jpg,Folder Contents,Governor Folder Contents,Governor,9962,Lode,,,Folder Contents,Contents;Governor,Beaverhead,Beaverhead,Elkhorn,4S,12W,15,45.48599,-113.0705,,,Image;StillImage,image/jpeg,eng,Near Dubious,,
governor_tilden001,Governor_Tilden.jpg,Folder Contents,Governor Tilden Folder Contents,Governor Tilden,,Lode,,,Folder Contents,Contents;Governor Tilden,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.31278,-112.87333,,,Image;StillImage,image/jpeg,eng,"A/K/A Tuscarora, Wooley",,
grace_no_1_prospect001,Grace_No_1_Prospect.jpg,Folder Contents,Grace No 1 Prospect Folder Contents,Grace No 1 Prospect,,Lode,,,Folder Contents,Contents;Grace No 1 Prospect,Beaverhead,Beaverhead,Big Muddy,14S,11W,10,44.63095,-112.92718,,,Image;StillImage,image/jpeg,eng,A/K/A Copper King,,
graphite_deposit001,Graphite_Deposit.jpg,Folder Contents,Graphite Deposit Folder Contents,Graphite Deposit,,Lode,,,Folder Contents,Contents;Graphite Deposit,Beaverhead,Beaverhead,Unorganized,,,,,,,,Image;StillImage,image/jpeg,eng,,,
grasshopper_1_lode001,Grasshopper_1_Lode.jpg,Folder Contents,Grasshopper 1 Lode Folder Contents,Grasshopper 1 Lode,,Lode,,,Folder Contents,Contents;Grasshopper 1 Lode,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1492,112.9853,,,Image;StillImage,image/jpeg,eng,Grasshopper No. 1 Lode,,
grasshopper_placer001,Grasshopper_Placer.jpg,Folder Contents,Grasshopper Placer Folder Contents,Grasshopper Placer,,Placer,,,Folder Contents,Contents;Grasshopper Placer,Beaverhead,Beaverhead,Bannack,8S,11W,15,45.1353,-112.9419,,,Image;StillImage,image/jpeg,eng,Near Priscilla,,
grasshopper_prospect001,Grasshopper_Prospect.jpg,Folder Contents,Grasshopper Prospect Folder Contents,Grasshopper Prospect,,Placer,,,Folder Contents,Contents;Grasshopper Prospect,Beaverhead,Beaverhead,Bannack,8S,11W,1,45.1567,-112.9186,,,Image;StillImage,image/jpeg,eng,,,
gray_jockey001,Gray_Jockey.jpg,Folder Contents,Gray Jockey Folder Contents,Gray Jockey,,Lode,,,Folder Contents,Contents;Gray Jockey,Beaverhead,Beaverhead,Vipond Park,2S,11W,2,45.695,-112.9311,,,Image;StillImage,image/jpeg,eng,Green Lizard,,
graybird001,Graybird.jpg,Folder Contents,Graybird Folder Contents,Graybird,,Lode,,,Folder Contents,Contents;Graybird,Beaverhead,Beaverhead,Argenta,6S,10W,29,45.2844,-112.8508,,,Image;StillImage,image/jpeg,eng,"Near Goldsmith, Ferdinand, Jack Rabbit Mines",,
great_western001,Great_Western.jpg,Folder Contents,Great Western Folder Contents,Great Western,,Lode,,,Folder Contents,Contents;Great Western,Beaverhead,Beaverhead,Quartz Hill,1S,11W,25,45.7186,-112.9033,,,Image;StillImage,image/jpeg,eng,Near Lone Pine Mine,,
green_lizard001,Green_Lizard.jpg,Folder Contents,Green Lizard Folder Contents,Green Lizard,,Lode,,,Folder Contents,Contents;Green Lizard,Beaverhead,Beaverhead,Vipond Park,2S,11W,2,45.6914,-112.9319,,,Image;StillImage,image/jpeg,eng,Grey (Gray) Jockey,,
greenstone001,Greenstone.jpg,Folder Contents,Greenstone Folder Contents,Greenstone,,Lode,,,Folder Contents,Contents;Greenstone,Beaverhead,Beaverhead,Utopia,5S,10W,11,45.4128,-112.8033,,,Image;StillImage,image/jpeg,eng,Near Indian Queen Mine,,
greenwich001,Greenwich.jpg,Folder Contents,Greenwich Folder Contents,Greenwich,,Lode,,,Folder Contents,Contents;Greenwich,Beaverhead,Beaverhead,Utopia,,,,,,,,Image;StillImage,image/jpeg,eng,"Near Treasury, Algoma",,
greenwood_tailings001,Greenwood_Tailings.jpg,Folder Contents,Greenwood Tailings Folder Contents,Greenwood Tailings,,Lode,,,Folder Contents,Contents;Greenwood Tailings,Beaverhead,Beaverhead,,,,,,,,,Image;StillImage,image/jpeg,eng,Greenwood Tailings,,
grotto001,Grotto.jpg,Folder Contents,Grotto Folder Contents,Grotto,9847,Lode,,,Folder Contents,Contents;Grotto,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.487,-113.0486,,,Image;StillImage,image/jpeg,eng,Near Dubious,,
ground_hog001,Ground_Hog.jpg,Folder Contents,Ground Hog Folder Contents,Ground Hog,,Lode,,,Folder Contents,Contents;Ground Hog,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.3083,-112.8769,,,Image;StillImage,image/jpeg,eng,Near Fissure,,
guy001,Guy.jpg,Folder Contents,Guy Folder Contents,Guy,,Lode,,,Folder Contents,Contents;Guy,Beaverhead,Beaverhead,Elkhorn,4S,12W,26,45.4589,-113.0528,,,Image;StillImage,image/jpeg,eng,A/K/A Gar; Around Park,,
h_s001,H_S.jpg,Folder Contents,H S Folder Contents,H S,,Lode,,,Folder Contents,Contents;H S,Beaverhead,Beaverhead,Chinatown,11S,13W,9,44.8894,-113.1939,,,Image;StillImage,image/jpeg,eng,A/K/A Davis Mine,,
haggerty001,Haggerty.jpg,Folder Contents,Haggerty Folder Contents,Haggerty,,Lode,,,Folder Contents,Contents;Haggerty,Beaverhead,Beaverhead,Utopia,5S,10W,22,45.3922,-112.8228,,,Image;StillImage,image/jpeg,eng,"A/K/A Haggerty Claim; Near Kopper Koin, Big Duece; Indian Queen Mine",,
hamilton001,Hamilton.jpg,Folder Contents,Hamilton Folder Contents,Hamilton,,Lode,,,Folder Contents,Contents;Hamilton,Beaverhead,Beaverhead,Chinatown,,,,,,,,Image;StillImage,image/jpeg,eng,Near Hattie,,
hand_mine001,Hand_Mine.jpg,Folder Contents,Hand Mine Folder Contents,Hand Mine,,Lode,,,Folder Contents,Contents;Hand Mine,Beaverhead,Beaverhead,Argenta,6S,10W,29,45.2869,-112.865,,,Image;StillImage,image/jpeg,eng,"A/K/A Mauldin, Ermont Group; Near Brownell, Anaconda, Jack Rabbit, Iron Mountain, Mauldin Mines",,
hazel001,Hazel.jpg,Folder Contents,Hazel Folder Contents,Hazel,,Lode,,,Folder Contents,Contents;Hazel,Beaverhead,Beaverhead,Elkhorn,4S,12W,23,45.47137,-113.04979,,,Image;StillImage,image/jpeg,eng,,,
hecla001,Hecla.jpg,Folder Contents,Hecla Folder Contents,Hecla,,Lode,,,Folder Contents,Contents;Hecla,Beaverhead,Beaverhead,Bryant,6S,12W,11,45.601188,-112.935545,,,Image;StillImage,image/jpeg,eng,Near Silver King; Minnie Gaffney,,
helena001,Helena.jpg,Folder Contents,Helena Folder Contents,Helena,,Lode,,,Folder Contents,Contents;Helena,Beaverhead,Beaverhead,Unorganized,,,,,,,,Image;StillImage,image/jpeg,eng,Helena,,
hendricks001,Hendricks.jpg,Folder Contents,Hendricks Folder Contents,Hendricks,,Lode,,,Folder Contents,Contents;Hendricks,Beaverhead,Beaverhead,Bannack,8S,11W,7,45.1556,-112.9961,,,Image;StillImage,image/jpeg,eng,"A/K/A Graeter, Apex, Graeter Tunnel; Near Suffield; Near Excelsior Mine",,
hidden_treasure001,Hidden_Treasure.jpg,Folder Contents,Hidden Treasure Folder Contents,Hidden Treasure,,Lode,,,Folder Contents,Contents;Hidden Treasure,Beaverhead,Beaverhead,McCartney Mountain,4S,8W,9,45.503,-112.59838,,,Image;StillImage,image/jpeg,eng,"Near Back Pay, Virgie K., Vernadel, Nig #1, Nig #2, Rose, Gold Leaf, Double, Eagle, Gold Crown",,
hillside001,Hillside.jpg,Folder Contents,Hillside Folder Contents,Hillside,3534,Placer,,,Folder Contents,Contents;Hillside,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1519,-112.9853,,,Image;StillImage,image/jpeg,eng,"Near Horace, Golden Leaf, Junction, Pioneer",,
hoffman_group001,Hoffman_Group.jpg,Folder Contents,Hoffman Group Folder Contents,Hoffman Group,,Lode,,,Folder Contents,Contents;Hoffman Group,Beaverhead,Beaverhead,Unorganized,4S,9W,22,45.47386,-112.70159,,,Image;StillImage,image/jpeg,eng,,,
hogback001,Hogback.jpg,Folder Contents,Hogback Folder Contents,Hogback,,Lode,,,Folder Contents,Contents;Hogback,Beaverhead,Beaverhead,,5S,8W,10,45.4,-112.5994,,,Image;StillImage,image/jpeg,eng,Near Sodak Mine; Includes Gob 1 - Gob10; Hogback 1-3,,
homestake001,Homestake.jpg,Folder Contents,Homestake Folder Contents,Homestake,9965,Lode,,,Folder Contents,Contents;Homestake,Beaverhead,Beaverhead,Elkhorn,4S,12W,23,45.47571,-113.05767,,,Image;StillImage,image/jpeg,eng,,,
homestake_t14s_r12w001,Homestake_T14S_R12W.jpg,Folder Contents,Homestake T14S R12W Folder Contents,Homestake T14S R12W,,Lode,,,Folder Contents,Contents;Homestake T14S R12W,Beaverhead,Beaverhead,Elkhorn,,,,,,,,Image;StillImage,image/jpeg,eng,Includes Laura And Gold Bug,,
horace001,Horace.jpg,Folder Contents,Horace Folder Contents,Horace,7610,Placer,,,Folder Contents,Contents;Horace,Beaverhead,Beaverhead,Bannack,8S,11W,8,45.1489,-112.9819,,,Image;StillImage,image/jpeg,eng,Horace,,
horn_silver001,Horn_Silver.jpg,Folder Contents,Horn Silver Folder Contents,Horn Silver,,Lode,,,Folder Contents,Contents;Horn Silver,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.3083,-112.8744,,,Image;StillImage,image/jpeg,eng,Horn Silver,,
