objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
berlin001,Berlin.jpg,Folder Contents,Berlin Folder Contents,Berlin,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Bryant,2S,9W,10,45.6731,-112.7017,,,Image;StillImage,image/jpeg,eng,Toole Graphite,,
birchcreek001,Birch_Creek.jpg,Folder Contents,Birch Creek Folder Contents,Birch Creek,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Utopia,5S,10W,15,45.40028,-112.82639,,,Image;StillImage,image/jpeg,eng,,,
birchcreekiron001,Birch_Creek_Iron.jpg,Folder Contents,Birch Creek Iron Folder Contents,Birch Creek Iron,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Utopia,5S,10W,21,45.3894,-112.8417,,,Image;StillImage,image/jpeg,eng,Jumbo; Oro Fino; U.S. Treasure;,,
birchcreeknickel001,Birch_Creek_Nickel.jpg,Folder Contents,Birch Creek Nickel Folder Contents,Birch Creek Nickel,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Utopia,4S,10W,18,45.487,-112.8841,,,Image;StillImage,image/jpeg,eng,,,
bluebell001,Blue_Bell.jpg,Folder Contents,Blue Bell Folder Contents,Blue Bell,10083,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Elkhorn,4S,12W,22,45.47142,-113.07054,,,Image;StillImage,image/jpeg,eng,Elkhorn Mine,,
blueeyedannie001,Blue_Eyed_Annie.jpg,Folder Contents,Blue Eyed Annie Folder Contents,Blue Eyed Annie,8787,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Elkhorn,4S,12W,15,45.4756,-113.0789,,,Image;StillImage,image/jpeg,eng,Diamond,,
bluegrass001,Blue_Grass.jpg,Folder Contents,Blue Grass Folder Contents,Blue Grass,683,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Bannack,8S,11W,5,45.1594,-112.975,,,Image;StillImage,image/jpeg,eng,"Gold Bug, Dakota",,
bluejay001,Blue_Jay.jpg,Folder Contents,Blue Jay Folder Contents,Blue Jay,9964B,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.48593,-113.04969,,,Image;StillImage,image/jpeg,eng,"Elkhorn, Atlas, Mono, Red Top, Central",,
bluewing001,Blue_Wing_Mine.jpg,Folder Contents,Blue Wing Mine Folder Contents,Blue Wing Mine,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Blue Wing,7S,11W,33,45.1866,-112.95509,,,Image;StillImage,image/jpeg,eng,"A/K/A Cottontail; Around Kent, Huron",,
bluebird001,Bluebird.jpg,Folder Contents,Bluebird Folder Contents,Bluebird,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Elkhorn,10S,7W,18,44.96385,-112.50952,,,Image;StillImage,image/jpeg,eng,,,
bonaccord001,Bon_Accord.jpg,Folder Contents,Bon Accord Folder Contents,Bon Accord,,Placer,,,Folder Contents,Contents; Bon Accord,Beaverhead,Beaverhead,,8S,10W,15,45.124,-112.8338,,,Image;StillImage,image/jpeg,eng,,,
bonanza001,Bonanza.jpg,Folder Contents,Bonanza Folder Contents,Bonanza,9965B,Lode,,,Folder Contents,Contents; Bonanza,Beaverhead,Beaverhead,Elkhorn,4S,12W,23,45.47137,-113.04979,,,Image;StillImage,image/jpeg,eng,"A Jack, Ruby, Wra, Red Sky, Homestake",,
