objectid,filename,title,claim,claim number,claim type,creator,date,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated names,rightsstatement,,,,
boulder001,Boulder.jpg,Boulder Folder Contents,Boulder,,Lode,,,Folder Content Sheets,Contents; Boulder,Boulder,Jefferson,Colorado,46.3589,-112.1119,07N,04W,16,,,Image;StillImage,image/jpeg,eng,"A/K/A Basin Goldfields; Group Includes Golden Gate, Fair View, Colonel Peak, South Retort, North And South Boulder Gold Spring Claims, South Side Of Pole Mountain",,,,,
boulder001,Boulder.jpg,Boulder Folder Contents,Boulder,869,Lode,,,Folder Content Sheets,Contents; Boulder,Boulder,Jefferson,Basin,46.27861,-112.288,06N,06W,13,,,Image;StillImage,image/jpeg,eng,"A/K/A Basin Goldfields, Group Includes Golden Gate, Fair View, Colonel Peak, South Retort, North And South Boulder Gold Spring Claims",,,,,
boulder batholith001,Boulder Batholith.jpg,Boulder Batholith Folder Contents,Boulder Batholith,,Placer,,,Folder Content Sheets,Contents; Boulder Batholith,Boulder Batholith,Jefferson,Basin,46.38578,-112.17302,07N,05W,1,,,Image;StillImage,image/jpeg,eng,Boulder Batholith,,,,,
boulder chief001,Boulder Chief.jpg,Boulder Chief Folder Contents,Boulder Chief,,Lode,,,Folder Content Sheets,Contents; Boulder Chief,Boulder Chief,Jefferson,Basin,46.32999,-112.21,07N,05W,27,,,Image;StillImage,image/jpeg,eng,Up High Ore Creek Past Comet Nw To Mine,,,,,
boulder iron001,Boulder Iron.jpg,Boulder Iron Folder Contents,Boulder Iron,,Lode,,,Folder Content Sheets,Contents; Boulder Iron,Boulder Iron,Jefferson,Boulder,46.1746,-111.91307,05N,03W,24,,,Image;StillImage,image/jpeg,eng,,,,,,
boulder quicksilver001,Boulder Quicksilver.jpg,Boulder Quicksilver Folder Contents,Boulder Quicksilver,,Lode,,,Folder Content Sheets,Contents; Boulder Quicksilver,Boulder Quicksilver,Jefferson,Amazon,46.2585,-112.1286,06N,04W,20,,,Image;StillImage,image/jpeg,eng,"1/2 Mi. Nw Of Gn Depot, Aka Boulder Mercury",,,,,
boulder river prospect001,Boulder River Prospect.jpg,Boulder River Prospect Folder Contents,Boulder River Prospect,,Placer,,,Folder Content Sheets,Contents; Boulder River Prospect,Boulder River Prospect,Jefferson,Lowland,46.256484,-112.49511,06N,07W,20,,,Image;StillImage,image/jpeg,eng,Orvana Reconnaissance,,,,,
boulder vestal001,Boulder Vestal.jpg,Boulder Vestal Folder Contents,Boulder Vestal,1330,Lode,,,Folder Content Sheets,Contents; Boulder Vestal,Boulder Vestal,Jefferson,Cataract,46.2863,-112.23118,06N,05W,9,,,Image;StillImage,image/jpeg,eng,West Of Big Limber Creek,,,,,
brown park001,Brown Park.jpg,Brown Park Folder Contents,Brown Park,,Placer,,,Folder Content Sheets,Contents; Brown Park,Brown Park,Jefferson,Homestake,45.9553,-112.3575,02N,06W,4,,,Image;StillImage,image/jpeg,eng,Jeanette B,,,,,
buck001,Buck.jpg,Buck Folder Contents,Buck,10635,Lode,,,Folder Content Sheets,Contents; Buck,Buck,Jefferson,High Ore,46.28833,-112.20556,06N,05W,10,,,Image;StillImage,image/jpeg,eng,"Helena, Eagle, Tamarack, Calumet, Dolly, Zone, Union",,,,,
buck horn001,Buck Horn.jpg,Buck Horn Folder Contents,Buck Horn,9547,Lode,,,Folder Content Sheets,Contents; Buck Horn,Buck Horn,Jefferson,Unorganized,45.999,-112.3367,03N,06W,,,,Image;StillImage,image/jpeg,eng,,,,,,
buckeye001,Buckeye.jpg,Buckeye Folder Contents,Buckeye,,Lode,,,Folder Content Sheets,Contents; Buckeye,Buckeye,Jefferson,Alhambra,46.3322,112.0028,07N,03W,29,,,Image;StillImage,image/jpeg,eng,"A/K/A Boston, Buckeye-Enterprise; Adjoins Enterprise Mine",,,,,
buckeye001,Buckeye.jpg,Buckeye Folder Contents,Buckeye,,Lode,,,Folder Content Sheets,Contents; Buckeye,Buckeye,Jefferson,Basin,46.3017,-112.2328,06N,05W,4,,,Image;StillImage,image/jpeg,eng,"A/K/A Boston, Buckeye-Enterprise; Adjoins Enterprise Mine",,,,,
buckeye (t08n r06w sec 36)001,Buckeye (T08N R06W Sec 36).jpg,Buckeye (T08N R06W Sec 36) Folder Contents,Buckeye (T08N R06W Sec 36),374,Lode,,,Folder Content Sheets,Contents; Buckeye (T08N R06W Sec 36),Buckeye (T08N R06W Sec 36),Jefferson,Basin,46.4026,-112.2745,08N,06W,36,,,Image;StillImage,image/jpeg,eng,"A/K/A Boston, Buckeye-Enterprise; Adjoins Enterprise Mine",,,,,
buckhorn001,Buckhorn.jpg,Buckhorn Folder Contents,Buckhorn,2414,Lode,,,Folder Content Sheets,Contents; Buckhorn,Buckhorn,Jefferson,Homestake,46.22963,-112.2568,06N,05W,32,,,Image;StillImage,image/jpeg,eng,Buckhorn,,,,,
buffalo creek placer001,Buffalo Creek Placer.jpg,Buffalo Creek Placer Folder Contents,Buffalo Creek Placer,,Placer,,,Folder Content Sheets,Contents; Buffalo Creek Placer,Buffalo Creek Placer,Jefferson,N/A,46.4917,-112.1197,09N,04W,33,,,Image;StillImage,image/jpeg,eng,,,,,,
bullion001,Bullion.jpg,Bullion Folder Contents,Bullion,5108,Lode,,,Folder Content Sheets,Contents; Bullion,Bullion,Jefferson,Basin,46.3564,-112.2953,07N,06W,13,,,Image;StillImage,image/jpeg,eng,Part Of Hope & Bullion; Consists Of Bullion & West Bullion Ext.;,,,,,
bulwer001,Bulwer.jpg,Bulwer Folder Contents,Bulwer,,Lode,,,Folder Content Sheets,Contents; Bulwer,Bulwer,Jefferson,Elkhorn,46.26361,-111.94278,06N,03W,23,,,Image;StillImage,image/jpeg,eng,"A/K/A Elkhorn-Bulwer, Boulaway Mines",,,,,
burd's nest001,Burd'S Nest.jpg,Burd'S Nest Folder Contents,Burd'S Nest,4365,Lode,,,Folder Content Sheets,Contents; Burd'S Nest,Burd'S Nest,Jefferson,Basin,46.15028,-112.21472,06N,05W,17,,,Image;StillImage,image/jpeg,eng,"Adjoins Carrie, Speckelator",,,,,
butte001,Butte.jpg,Butte Folder Contents,Butte,9564,Lode,,,Folder Content Sheets,Contents; Butte,Butte,Jefferson,Colorado,46.3882,-112.087,07N,04W,3,,,Image;StillImage,image/jpeg,eng,,,,,,
butte & philadelphia001,Butte & Philadelphia.jpg,Butte & Philadelphia Folder Contents,Butte & Philadelphia,,Lode,,,Folder Content Sheets,Contents; Butte & Philadelphia,Butte & Philadelphia,Jefferson,Elk Park,46.1867,-112.4008,05N,06W,18,,,Image;StillImage,image/jpeg,eng,On Flank Of Three Brothers,,,,,
butte cardwell001,Butte Cardwell.jpg,Butte Cardwell Folder Contents,Butte Cardwell,,Lode,,,Folder Content Sheets,Contents; Butte Cardwell,Butte Cardwell,Jefferson,Whitehall,45.8633,-111.9272,01N,03W,1,,,Image;StillImage,image/jpeg,eng,Butte Cardwell,,,,,
butte-elk park extension001,ButteElk.jpg,Butte-Elk Park Extension Folder Contents,Butte-Elk Park Extension,,Lode,,,Folder Content Sheets,Contents; Butte-Elk Park Extension,Butte-Elk Park Extension,Jefferson,Elk Park,46.1719,-112.3894,05N,06W,19,,,Image;StillImage,image/jpeg,eng,3/4 Mi. Due North Of Elk Park On Gnrr,,,,,
c and d001,C And D.jpg,C And D Folder Contents,C And D,1620,Lode,,,Folder Content Sheets,Contents; C And D,C And D,Jefferson,Elkhorn,46.2889,-111.9333,06N,03W,11,,,Image;StillImage,image/jpeg,eng,Includes Louise; A/K/A Boulder Belle,,,,,
c and l manganese001,C And L Manganese.jpg,C And L Manganese Folder Contents,C And L Manganese,,Lode,,,Folder Content Sheets,Contents; C And L Manganese,C And L Manganese,Jefferson,Colorado,46.37194,-112.13222,07N,04W,8,,,Image;StillImage,image/jpeg,eng,"A/K/A L & C Manganese, La Casse-Childers",,,,,
calahan001,Calahan.jpg,Calahan Folder Contents,Calahan,,Lode,,,Folder Content Sheets,Contents; Calahan,Calahan,Jefferson,Elkhorn,46.3522,111.8339,07N,02W,22,,,Image;StillImage,image/jpeg,eng,"A/K/A Golden Age, Deer Horn Mines; Soby Group",,,,,
calico clay pit001,Calico Clay Pit.jpg,Calico Clay Pit Folder Contents,Calico Clay Pit,,Lode,,,Folder Content Sheets,Contents; Calico Clay Pit,Calico Clay Pit,Jefferson,Whitehall,45.8833,-111.9167,02N,03W,36,,,Image;StillImage,image/jpeg,eng,Calico Clay Pit,,,,,
camp owen001,Camp Owen.jpg,Camp Owen Folder Contents,Camp Owen,,Lode,,,Folder Content Sheets,Contents; Camp Owen,Camp Owen,Jefferson,Whitehall,45.91712,-112.03643,02N,04W,24,,,Image;StillImage,image/jpeg,eng,Camp Owen,,,,,
canadian001,Canadian.jpg,Canadian Folder Contents,Canadian,,Lode,,,Folder Content Sheets,Contents; Canadian,Canadian,Jefferson,Basin,46.30417,-112.36444,06N,06W,4,,,Image;StillImage,image/jpeg,eng,Canadian,,,,,
canon001,Canon.jpg,Canon Folder Contents,Canon,4380,Lode,,,Folder Content Sheets,Contents; Canon,Canon,Jefferson,Basin,46.2729,-112.2745,06N,05W,18,,,Image;StillImage,image/jpeg,eng,,,,,,
carbonate001,Carbonate.jpg,Carbonate Folder Contents,Carbonate,3996,Lode,,,Folder Content Sheets,Contents; Carbonate,Carbonate,Jefferson,Whitehall,45.9181,-112.0397,02N,04W,24,,,Image;StillImage,image/jpeg,eng,On St. Paul Gulch Road,,,,,
carbonate chief001,Carbonate Chief.jpg,Carbonate Chief Folder Contents,Carbonate Chief,7112,Lode,,,Folder Content Sheets,Contents; Carbonate Chief,Carbonate Chief,Jefferson,Clancy,46.41434,-111.8827,08N,02W,29,,,Image;StillImage,image/jpeg,eng,Near Bell & Mockingbird,,,,,
cardwell pit001,Cardwell Pit.jpg,Cardwell Pit Folder Contents,Cardwell Pit,,Lode,,,Folder Content Sheets,Contents; Cardwell Pit,Cardwell Pit,Jefferson,,45.8817,-111.92,02N,03W,36,,,Image;StillImage,image/jpeg,eng,Cardwell Pit,,,,,
"carla, pauline and faith001","Carla, Pauline And Faith.jpg","Carla, Pauline And Faith Folder Contents","Carla, Pauline And Faith",,Lode,,,Folder Content Sheets,"Contents; Carla, Pauline And Faith","Carla, Pauline And Faith",Jefferson,Lowland,46.2083,-112.4731,05N,07W,4,,,Image;StillImage,image/jpeg,eng,"Carla, Pauline And Faith",,,,,
carlson001,Carlson.jpg,Carlson Folder Contents,Carlson,,Lode,,,Folder Content Sheets,Contents; Carlson,Carlson,Jefferson,Lowland,46.2672,-112.4261,06N,07W,13,,,Image;StillImage,image/jpeg,eng,"A/K/A Jefferson, North Boulder Prospect",,,,,
carlson quartz001,Carlson Quartz.jpg,Carlson Quartz Folder Contents,Carlson Quartz,,Lode,,,Folder Content Sheets,Contents; Carlson Quartz,Carlson Quartz,Jefferson,Lowland,46.271667,-112.399444,06N,06W,18,,,Image;StillImage,image/jpeg,eng,Carlson Quartz,,,,,
carmody001,Carmody.jpg,Carmody Folder Contents,Carmody,,Lode,,,Folder Content Sheets,Contents; Carmody,Carmody,Jefferson,Elkhorn,46.273333,-111.951389,06N,03W,14,,,Image;StillImage,image/jpeg,eng,1/4 Mi. South Of Town Of Elkhorn,,,,,
cascade001,Cascade.jpg,Cascade Folder Contents,Cascade,,Lode,,,Folder Content Sheets,Contents; Cascade,Cascade,Jefferson,Beaver Gulch,46.1853,-112.3353,05N,06W,15,,,Image;StillImage,image/jpeg,eng,Includes Victory Claim,,,,,
center reef001,Center Reef.jpg,Center Reef Folder Contents,Center Reef,7965,Lode,,,Folder Content Sheets,Contents; Center Reef,Center Reef,Jefferson,Wilson-Tizer,46.3156,-111.8636,07N,02W,33,,,Image;StillImage,image/jpeg,eng,"A/K/A Ballard; Group Includes Loon, Policy, Black Bear,",,,,,
chalcopyrite001,Chalcopyrite.jpg,Chalcopyrite Folder Contents,Chalcopyrite,8254,Lode,,,Folder Content Sheets,Contents; Chalcopyrite,Chalcopyrite,Jefferson,Colorado,46.3875,-112.0897,07N,04W,3,,,Image;StillImage,image/jpeg,eng,Chalcopyrite,,,,,
champion pass001,Champion Pass.jpg,Champion Pass Folder Contents,Champion Pass,,Lode,,,Folder Content Sheets,Contents; Champion Pass,Champion Pass,Jefferson,Unorganized,46.25583,-112.55556,06N,08W,24,,,Image;StillImage,image/jpeg,eng,,,,,,
chief001,Chief.jpg,Chief Folder Contents,Chief,,Lode,,,Folder Content Sheets,Contents; Chief,Chief,Jefferson,Whitehall,45.9258,-111.8786,02N,02W,17,,,Image;StillImage,image/jpeg,eng,Chief,,,,,
chimera001,Chimera.jpg,Chimera Folder Contents,Chimera,,Lode,,,Folder Content Sheets,Contents; Chimera,Chimera,Jefferson,Beaver Gulch,46.40694,-111.74472,08N,01W,33,,,Image;StillImage,image/jpeg,eng,Chimera,,,,,
chinese diggings001,Chinese Diggings.jpg,Chinese Diggings Folder Contents,Chinese Diggings,,Lode,,,Folder Content Sheets,Contents; Chinese Diggings,Chinese Diggings,Jefferson,Boulder,46.20555,-112.12258,05N,04W,8,,,Image;StillImage,image/jpeg,eng,,,,,,
clancy creek001,Clancy Creek.jpg,Clancy Creek Folder Contents,Clancy Creek,,Lode,,,Folder Content Sheets,Contents; Clancy Creek,Clancy Creek,Jefferson,Clancy,46.37099,-112.14103,07N,04W,,,,Image;StillImage,image/jpeg,eng,Clancy Creek,,,,,
clancy creek placer001,Clancy Creek Placer.jpg,Clancy Creek Placer Folder Contents,Clancy Creek Placer,,Placer,,,Folder Content Sheets,Contents; Clancy Creek Placer,Clancy Creek Placer,Jefferson,Clancy,46.431944,-112.0725,08N,04W,23,,,Image;StillImage,image/jpeg,eng,Clancy Creek Placer,,,,,
clara001,Clara.jpg,Clara Folder Contents,Clara,2031,Lode,,,Folder Content Sheets,Contents; Clara,Clara,Jefferson,Homestake,45.98346,-112.31617,03N,06W,26,,,Image;StillImage,image/jpeg,eng,,,,,,
clark & dunstan001,Clark & Dunstan.jpg,Clark & Dunstan Folder Contents,Clark & Dunstan,,Lode,,,Folder Content Sheets,Contents; Clark & Dunstan,Clark & Dunstan,Jefferson,Elkhorn,46.25889,-112.00778,06N,03W,20,,,Image;StillImage,image/jpeg,eng,"No Location Given; Created Location Using Centerpoint Of Elkhorn District, Jefferson County",,,,,
clark gulch quarry001,Clark Gulch Quarry.jpg,Clark Gulch Quarry Folder Contents,Clark Gulch Quarry,,Lode,,,Folder Content Sheets,Contents; Clark Gulch Quarry,Clark Gulch Quarry,Jefferson,Unorganized,46.5375,-111.9728,09N,03W,15,,,Image;StillImage,image/jpeg,eng,,,,,,
clark lead001,Clark Lead.jpg,Clark Lead Folder Contents,Clark Lead,,Lode,,,Folder Content Sheets,Contents; Clark Lead,Clark Lead,Jefferson,Montana City,46.5525,-111.969,09N,03W,10,,,Image;StillImage,image/jpeg,eng,4 1/2 Miles So. Helena; A/K/A Hughes Clark Lead,,,,,
clay creek001,Clay Creek.jpg,Clay Creek Folder Contents,Clay Creek,,Placer,,,Folder Content Sheets,Contents; Clay Creek,Clay Creek,Jefferson,Basin,46.324742,-112.325849,07N,06W,26,,,Image;StillImage,image/jpeg,eng,Orvana Reconnaissance,,,,,
clipper001,Clipper.jpg,Clipper Folder Contents,Clipper,9778,Lode,,,Folder Content Sheets,Contents; Clipper,Clipper,Jefferson,Cataract,46.34113,-112.23351,07N,05W,21,,,Image;StillImage,image/jpeg,eng,,,,,,
columbia001,Columbia.jpg,Columbia Folder Contents,Columbia,3238,Lode,,,Folder Content Sheets,Contents; Columbia,Columbia,Jefferson,Lowland,46.1925,-112.4306,05N,07W,13,,,Image;StillImage,image/jpeg,eng,1500 Ft Se Of Ruby Mine,,,,,
columbia001,Columbia.jpg,Columbia Folder Contents,Columbia,,Lode,,,Folder Content Sheets,Contents; Columbia,Columbia,Jefferson,Little Pipestone,45.9115,-112.2325,02N,05W,21,,,Image;StillImage,image/jpeg,eng,"Bernice S.W. To Ruby, 1 1/2 Mi. Se To Mine",,,,,
columbus001,Columbus.jpg,Columbus Folder Contents,Columbus,8781,Lode,,,Folder Content Sheets,Contents; Columbus,Columbus,Jefferson,Basin,46.2881,-112.2839,06N,05W,7,,,Image;StillImage,image/jpeg,eng,Columbus,,,,,
columbus001,Columbus.jpg,Columbus Folder Contents,Columbus,9563,Lode,,,Folder Content Sheets,Contents; Columbus,Columbus,Jefferson,Clancy / Colorado,46.395267,-112.083884,08N,04W,34,,,Image;StillImage,image/jpeg,eng,Columbus,,,,,
comet001,Comet.jpg,Comet Folder Contents,Comet,,Lode,,,Folder Content Sheets,Contents; Comet,Comet,Jefferson,Basin,46.431944,-113.023056,07N,05W,36,,,Image;StillImage,image/jpeg,eng,"Head Of High Ore Creek; Group Includes Alta, Rumley, Gray Eagle, Minneapolis, Baltimore, North Star, Silver Hill, Australian, Austrian, Will Parkison",,,,,
comstock001,Comstock.jpg,Comstock Folder Contents,Comstock,,Lode,,,Folder Content Sheets,Contents; Comstock,Comstock,Jefferson,High Ore,46.2714,-112.2086,06N,05W,14,,,Image;StillImage,image/jpeg,eng,A/K/A Little Alta; On High Ore Creek,,,,,
confidence001,Confidence.jpg,Confidence Folder Contents,Confidence,1535,Lode,,,Folder Content Sheets,Contents; Confidence,Confidence,Jefferson,Unorganized,46.26701,-112.24832,06N,05W,17,,,Image;StillImage,image/jpeg,eng,,,,,,
conrow creek001,Conrow Creek.jpg,Conrow Creek Folder Contents,Conrow Creek,,Placer,,,Folder Content Sheets,Contents; Conrow Creek,Conrow Creek,Jefferson,Whitehall,45.925431,-111.981552,02N,03W,16,,,Image;StillImage,image/jpeg,eng,Orvana Reconnaissance,,,,,
copper bell001,Copper Bell.jpg,Copper Bell Folder Contents,Copper Bell,8417,Lode,,,Folder Content Sheets,Contents; Copper Bell,Copper Bell,Jefferson,Basin*,46.38583,-112.09218,07N,04W,3,,,Image;StillImage,image/jpeg,eng,Magpie,,,,,
copper giant001,Copper Giant.jpg,Copper Giant Folder Contents,Copper Giant,5128,Lode,,,Folder Content Sheets,Contents; Copper Giant,Copper Giant,Jefferson,Cataract,46.29445,-112.19946,06N,05W,2,,,Image;StillImage,image/jpeg,eng,,,,,,
copper hill001,Copper Hill.jpg,Copper Hill Folder Contents,Copper Hill,10524,Lode,,,Folder Content Sheets,Contents; Copper Hill,Copper Hill,Jefferson,Comet (Unorg.),46.2873,-112.1912,06N,05W,11,,,Image;StillImage,image/jpeg,eng,"Montana, San Francisco, Maire, Boulder, Bald Hill, Copper Hill, Green Hill",,,,,
copper jack001,Copper Jack.jpg,Copper Jack Folder Contents,Copper Jack,,Lode,,,Folder Content Sheets,Contents; Copper Jack,Copper Jack,Jefferson,Elkhorn,46.4314,-111.9411,08N,03W,23,,,Image;StillImage,image/jpeg,eng,"Includes Ruth, King, Queen, Harriet Lodes; 2 Mi. So. Of Elkhorn",,,,,
copper king001,Copper King.jpg,Copper King Folder Contents,Copper King,9821,Lode,,,Folder Content Sheets,Contents; Copper King,Copper King,Jefferson,Basin,46.286667,-112.212222,06N,05W,10,,,Image;StillImage,image/jpeg,eng,"Includes Baltic, Oregon, Lexington Fraction, Lexington, Yellow Jacket Claims",,,,,
copper mint001,Copper Mint.jpg,Copper Mint Folder Contents,Copper Mint,,Lode,,,Folder Content Sheets,Contents; Copper Mint,Copper Mint,Jefferson,Whitehall,,,,,,,,Image;StillImage,image/jpeg,eng,Copper Mint,,,,,
copper nugget001,Copper Nugget.jpg,Copper Nugget Folder Contents,Copper Nugget,,Placer,,,Folder Content Sheets,Contents; Copper Nugget,Copper Nugget,Jefferson,Alhambra,46.343333,-112.046667,07N,04W,24,,,Image;StillImage,image/jpeg,eng,On Beaverton Creek,,,,,
copper ore001,Copper Ore.jpg,Copper Ore Folder Contents,Copper Ore,,Lode,,,Folder Content Sheets,Contents; Copper Ore,Copper Ore,Jefferson,Boulder,,,,,,,,Image;StillImage,image/jpeg,eng,Copper Ore,,,,,
copper queen001,Copper Queen.jpg,Copper Queen Folder Contents,Copper Queen,,Lode,,,Folder Content Sheets,Contents; Copper Queen,Copper Queen,Jefferson,Montana City,46.53583,-111.923,09N,03W,13,,,Image;StillImage,image/jpeg,eng,Copper Queen,,,,,
corbin copper company001,Corbin Copper Company.jpg,Corbin Copper Company Folder Contents,Corbin Copper Company,,Lode,,,Folder Content Sheets,Contents; Corbin Copper Company,Corbin Copper Company,Jefferson,Colorado,46.373056,-112.089722,07N,04W,7,,,Image;StillImage,image/jpeg,eng,"Property Includes Minnesota Mine; A/K/A Calumet Corbin Mining Co.; Includes Silver King, Dewey, Bonanza",,,,,
corinne001,Corinne.jpg,Corinne Folder Contents,Corinne,7975,Lode,,,Folder Content Sheets,Contents; Corinne,Corinne,Jefferson,Cataract,46.28863,-112.20653,06N,05W,10,,,Image;StillImage,image/jpeg,eng,,,,,,
cracker001,Cracker.jpg,Cracker Folder Contents,Cracker,,Lode,,,Folder Content Sheets,Contents; Cracker,Cracker,Jefferson,Basin,46.32361,-112.236,07N,05W,28,,,Image;StillImage,image/jpeg,eng,5 Mi. Up Cataract Creek Road,,,,,
creden mines001,Creden Mines.jpg,Creden Mines Folder Contents,Creden Mines,,Lode,,,Folder Content Sheets,Contents; Creden Mines,Creden Mines,Jefferson,Basin,46.273333,-112.262222,06N,06W,17,,,Image;StillImage,image/jpeg,eng,In Basin,,,,,
crescent001,Crescent.jpg,Crescent Folder Contents,Crescent,,Lode,,,Folder Content Sheets,Contents; Crescent,Crescent,Jefferson,Basin,46.421667,-112.245556,08N,05W,29,,,Image;StillImage,image/jpeg,eng,"Group Includes Alsace, Loraine, Crescent",,,,,
crow creek001,Crow Creek.jpg,Crow Creek Folder Contents,Crow Creek,,Lode,,,Folder Content Sheets,Contents; Crow Creek,Crow Creek,Jefferson,Elkhorn,46.34861,-111.813,07N,02W,23,,,Image;StillImage,image/jpeg,eng,Crow Creek,,,,,
crowley001,Crowley.jpg,Crowley Folder Contents,Crowley,,Lode,,,Folder Content Sheets,Contents; Crowley,Crowley,Jefferson,Basin,46.2296,-112.2953,06N,06W,31,,,Image;StillImage,image/jpeg,eng,14 Unpatented Claims (1-13),,,,,
crystal hill001,Crystal Hill.jpg,Crystal Hill Folder Contents,Crystal Hill,,Lode,,,Folder Content Sheets,Contents; Crystal Hill,Crystal Hill,Jefferson,N/A,45.897,-112.3575,02N,06W,28,,,Image;StillImage,image/jpeg,eng,Crystal Hill,,,,,
crystal mine001,Crystal Mine.jpg,Crystal Mine Folder Contents,Crystal Mine,6037,Lode,,,Folder Content Sheets,Contents; Crystal Mine,Crystal Mine,Jefferson,Basin,46.3478,-112.2606,07N,05W,20,,,Image;StillImage,image/jpeg,eng,"10 Patented, 3 Unpatented Claims; Originally Known As 'Green' Lode; Aka 'Bullion/Crystal'",,,,,
curlew001,Curlew.jpg,Curlew Folder Contents,Curlew,,Lode,,,Folder Content Sheets,Contents; Curlew,Curlew,Jefferson,Boulder,45.9261,-111.9824,02N,03W,16,,,Image;StillImage,image/jpeg,eng,"South Branch Of North Fork Of Connrow Wood Creek, N.E. Of Whitehall",,,,,
custer001,Custer.jpg,Custer Folder Contents,Custer,1422,Lode,,,Folder Content Sheets,Contents; Custer,Custer,Jefferson,Basin,46.3042,-112.2269,06N,05W,4,,,Image;StillImage,image/jpeg,eng,Between Big Timber & Cataract Creeks,,,,,
dailey001,Dailey.jpg,Dailey Folder Contents,Dailey,1072,Lode,,,Folder Content Sheets,Contents; Dailey,Dailey,Jefferson,Colorado,46.350833,-112.102778,07N,04W,16,,,Image;StillImage,image/jpeg,eng,"A/K/A Atlas, Buckhorn, Custer Mines; Includes Atlas, B.O.P., Bellflower, Go-Between",,,,,
dailey001,Dailey.jpg,Dailey Folder Contents,Dailey,,Lode,,,Folder Content Sheets,Contents; Dailey,Dailey,Jefferson,Basin,46.421667,-112.295,06N,06W,1,,,Image;StillImage,image/jpeg,eng,"A/K/A Atlas, Buckhorn, Custer Mines; Includes Atlas, B.O.P., Bellflower, Go-Between",,,,,
davey001,Davey.jpg,Davey Folder Contents,Davey,10540,Lode,,,Folder Content Sheets,Contents; Davey,Davey,Jefferson,Homestake,45.9671,-112.4156,03N,07W,36,,,Image;StillImage,image/jpeg,eng,"Adjoins Ida Mckinley, Golden Crown, Mountain Chief Lodes",,,,,
david copperfield001,David Copperfield.jpg,David Copperfield Folder Contents,David Copperfield,3352,Lode,,,Folder Content Sheets,Contents; David Copperfield,David Copperfield,Jefferson,Colorado,46.3572,-112.0994,07N,04W,15,,,Image;StillImage,image/jpeg,eng,David Copperfield,,,,,
deception001,Deception.jpg,Deception Folder Contents,Deception,9395,Lode,,,Folder Content Sheets,Contents; Deception,Deception,Jefferson,Little Pipestone,45.8241,-112.3367,01N,06W,22,,,Image;StillImage,image/jpeg,eng,Deception,,,,,
deer creek001,Deer Creek.jpg,Deer Creek Folder Contents,Deer Creek,,Lode,,,Folder Content Sheets,Contents; Deer Creek,Deer Creek,Jefferson,N/A,,,,,,,,Image;StillImage,image/jpeg,eng,Deer Creek,,,,,
delomas001,Delomas.jpg,Delomas Folder Contents,Delomas,,Lode,,,Folder Content Sheets,Contents; Delomas,Delomas,Jefferson,Alhambra,46.3449,-112.087,07N,04W,22,,,Image;StillImage,image/jpeg,eng,Se Of Jefferson City,,,,,
denver001,Denver.jpg,Denver Folder Contents,Denver,10636,Lode,,,Folder Content Sheets,Contents; Denver,Denver,Jefferson,Comet (Unorg.),46.28661,-112.19869,06N,05W,11,,,Image;StillImage,image/jpeg,eng,,,,,,
dewey tunnels001,Dewey Tunnels.jpg,Dewey Tunnels Folder Contents,Dewey Tunnels,,Lode,,,Folder Content Sheets,Contents; Dewey Tunnels,Dewey Tunnels,Jefferson,Alhambra,46.37167,-112.16,07N,04W,7,,,Image;StillImage,image/jpeg,eng,Above Bonanza,,,,,
diamond001,Diamond.jpg,Diamond Folder Contents,Diamond,8019,Lode,,,Folder Content Sheets,Contents; Diamond,Diamond,Jefferson,Basin*,46.28139,-112.22333,06N,05W,10,,,Image;StillImage,image/jpeg,eng,Diamond,,,,,
dimon001,Dimon.jpg,Dimon Folder Contents,Dimon,4398,Lode,,,Folder Content Sheets,Contents; Dimon,Dimon,Jefferson,Basin,46.28076,-112.26258,06N,05W,8,,,Image;StillImage,image/jpeg,eng,Ajoins Buster,,,,,
dobler001,Dobler.jpg,Dobler Folder Contents,Dobler,,Lode,,,Folder Content Sheets,Contents; Dobler,Dobler,Jefferson,Warm Springs,46.55222,-111.777,09N,01W,7,,,Image;StillImage,image/jpeg,eng,,,,,,
doerr cowpasture001,Doerr Cowpasture.jpg,Doerr Cowpasture Folder Contents,Doerr Cowpasture,,Lode,,,Folder Content Sheets,Contents; Doerr Cowpasture,Doerr Cowpasture,Jefferson,Clancy,,,,,,,,Image;StillImage,image/jpeg,eng,Doerr Cowpasture,,,,,
dooley001,Dooley.jpg,Dooley Folder Contents,Dooley,4375,Lode,,,Folder Content Sheets,Contents; Dooley,Dooley,Jefferson,Cataract,46.2585,-112.2537,06N,05W,20,,,Image;StillImage,image/jpeg,eng,,,,,,
dora leigh001,Dora Leigh.jpg,Dora Leigh Folder Contents,Dora Leigh,,Lode,,,Folder Content Sheets,Contents; Dora Leigh,Dora Leigh,Jefferson,Boulder,46.11333,-112.025,04N,03W,7,,,Image;StillImage,image/jpeg,eng,Dora Leigh,,,,,
doris001,Doris.jpg,Doris Folder Contents,Doris,10567,Lode,,,Folder Content Sheets,Contents; Doris,Doris,Jefferson,Cataract,46.28264,-112.27529,06N,05W,7,,,Image;StillImage,image/jpeg,eng,,,,,,
