objectid,filename,title,claim,claim number,claim type,creator,date,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated names,rightsstatement,,,,
aquarius001,Aquarius.jpg,Aquarius Folder Contents,Aquarius,,Lode,,,Folder Content Sheets,Contents; Aquarius,Aquarius,Jefferson,Basin,46.27295,-112.29711,06N,06W,13,,,Image;StillImage,image/jpeg,eng,Aquarius,,,,,
argentum001,Argentum.jpg,Argentum Folder Contents,Argentum,,Lode,,,Folder Content Sheets,Contents; Argentum,Argentum,Jefferson,N/A,,,,,,,,Image;StillImage,image/jpeg,eng,Near Jefferson City,,,,,
ariadne001,Ariadne.jpg,Ariadne Folder Contents,Ariadne,10738,Lode,,,Folder Content Sheets,Contents; Ariadne,Ariadne,Jefferson,Colorado,46.3878,-112.1222,07N,04W,5,,,Image;StillImage,image/jpeg,eng,Group Includes Bee; Between Minnesota & Gregory Mines,,,,,
arogon001,Arogon.jpg,Arogon Folder Contents,Arogon,,Lode,,,Folder Content Sheets,Contents; Arogon,Arogon,Jefferson,Clancy,46.4236,-112.1814,08N,05W,24,,,Image;StillImage,image/jpeg,eng,Arogon,,,,,
asarco limestone quarry001,ASARCO.jpg,Asarco Limestone Quarry Folder Contents,Asarco Limestone Quarry,,Q,,,Folder Content Sheets,Contents; Asarco Limestone Quarry,Asarco Limestone Quarry,Jefferson,Montana City,5494,-111.9014,09N,02W,7,,,Image;StillImage,image/jpeg,eng,2 1/4 Mi. South Of Helena,,,,,
attowa001,Attowa.jpg,Attowa Folder Contents,Attowa,,Lode,,,Folder Content Sheets,Contents; Attowa,Attowa,Jefferson,Big Foot,46.1009,-112.19315,04N,05W,14,,,Image;StillImage,image/jpeg,eng,,,,,,
aurora001,Auroa.jpg,Aurora Folder Contents,Aurora,,Lode,,,Folder Content Sheets,Contents; Aurora,Aurora,Jefferson,Basin,46.301944,-112.309167,06N,06W,2,,,Image;StillImage,image/jpeg,eng,Near Mouth Of Saul Haggerty Gulch On Lower Basin Creek,,,,,
australian001,Australian.jpg,Australian Folder Contents,Australian,397,Lode,,,Folder Content Sheets,Contents; Australian,Australian,Jefferson,Amazon,46.31535,-112.15263,07N,04W,31,,,Image;StillImage,image/jpeg,eng,Australian,,,,,
b and g001,BandG.jpg,B And G Folder Contents,B And G,9022,Lode,,,Folder Content Sheets,Contents; B And G,B And G,Jefferson,Alhambra,46.4126,-111.90066,08N,02W,31,,,Image;StillImage,image/jpeg,eng,"A/K/A B & G, Eagles Nest, R.P. Bland",,,,,
ba-ka-maa001,Bakamaa.jpg,Ba-Ka-Maa Folder Contents,Ba-Ka-Maa,8940,Lode,,,Folder Content Sheets,Contents; Ba-Ka-Maa,Ba-Ka-Maa,Jefferson,Wickes-Corbin,46.3739,112.1814,07N,05W,11,,,Image;StillImage,image/jpeg,eng,Ba-Ka-Maa,,,,,
