objectid,filename,title,claim,claim number,claim type,creator,date,,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated name,rightsstatement
chouteau_general001,Chouteau_General.jpg,Chouteau General Folder Content Sheet,Chouteau General,,,,,,Folder Contents,chouteau general,Chouteau,Chouteau,Chouteau,,,,,,Chouteau County Files,MBMG Data Preservation,Image;StillImage,image/jpeg,eng,,
chouteau_general002,Correspondence_Choteau_General_MBMG_Peterson_Oscar_06021972.pdf,Correspondence between Marvin Miller and Oscar Peterson 1972,Chouteau General,,,Marvin Miller,6/6/1972,,Correspondence,chouteau general;nonmetallic minerals;metallic minerals;oil and gas;coal,Chouteau,Chouteau,Chouteau,,,,,,Chouteau County Files,MBMG Data Preservation,Image;StillImage,application/pdf,eng,,
chouteau_general003,Correspondence_Choteau_General_MBMG_Snyder_Gerald_01071970.pdf,Correspondence between Uuno Sahinen and Gerald Snyder 1970,Chouteau General,,,Uuno M. Sahinen,1/7/1970,,Correspondence,chouteau general;white cliffs;missouri river;publications;eagle formation,Chouteau,Chouteau,Chouteau,,,,,,Chouteau County Files,MBMG Data Preservation,Image;StillImage,application/pdf,eng,,
