title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Beaverhead Forest Hydrologist Jeff Reiner","","8/9/1981","Beaverhead forest hydrologist Jeff Reiner","Newsclippings; Ajax Mine;","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/newsclippings_ajax_mine_montana_standard_08_09_1981_b_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Newsclippings_Ajax_Mine_Montana_Standard_08_09_1981_B.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax013.html"
"Beaverhead Talc Mine","","4/3/1986","Beaverhead Talc Mine","Newsclippings; Beaverhead Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/newsclippings_ajax_mine_wallace_miner_04_03_1986_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Newsclippings_Ajax_Mine_Wallace_Miner_04_03_1986.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax014.html"
"The Story of Ajax","Alva Josiah Noyes","3/28/1905","The Story of Ajax","Publications; Ajax","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/publications_ajax_mine_noyes_alva_1914_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Publications_Ajax_Mine_Noyes_Alva_1914.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax015.html"
"Ajax Mine General Informaiton","","","Ajax mine general informaiton","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_bulletin_85_mbmg_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_Bulletin_85_MBMG.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax016.html"
"Ajax Location Information and Summary","","","Ajax Location Information and Summary","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_location_information_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_Location_Information.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax017.html"
"Ajax Mine General Information","","","Ajax mine general information","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_mine_summaries_and_descriptions_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_Mine_Summaries_and_Descriptions.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax018.html"
"Report on the Ajax Group","Fred Greene","","Report on the Ajax Group","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_mine_summaries_greene_fred_03_1904_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_Mine_Summaries_Greene_Fred_03_1904.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax019.html"
"Mineral Resources of the West Big Hole Study Area, Beaverhead County, Montana","David A. Lipton; Martin D. Conyac; Spencer L. Willettt","1988","Mineral Resources of the West Big Hole Study Area, Beaverhead County, Montana","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_open_file_report_usbom_1988_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_Open_File_Report_USBOM_1988.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax020.html"
"USBOM Ajax Location Information","","","USBOM Ajax Location Information","Report; Ajax Mine","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/reports_ajax_mine_usbom_location_information_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Reports_Ajax_Mine_USBOM_Location_Information.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax021.html"
"A Jack Folder Contents","","","Folder Contents","Contents; A Jack Mine","Beaverhead","45.4724","-113.0486","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/a_jack_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/A_Jack.jpg","/Information/Collections/Mine-Files/Beaverhead/items/ajack001.html"
