location,count,link
"tuxedo",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#tuxedo"
"ucon",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ucon"
"unnamed manganese property",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#unnamed%20manganese%20property"
"up-two",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#up-two"
"vanguard group",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#vanguard%20group"
"vilet",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#vilet"
"virginia",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#virginia"
"virginia gulch",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#virginia%20gulch"
"volcanic gold",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#volcanic%20gold"
"wadams",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wadams"
"wallace",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wallace"
"wapita",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wapita"
"washington",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#washington"
"washington mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#washington%20mine"
"west ermont",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#west%20ermont"
"wheal rose",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wheal%20rose"
"white lime",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#white%20lime"
"white owl",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#white%20owl"
"white seal",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#white%20seal"
"wild bat",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wild%20bat"
"benton mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#benton%20mine"
"wise river placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wise%20river%20placer"
"wooley",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wooley"
"wra",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#wra"
"yellow band",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#yellow%20band"
"yellow bird",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#yellow%20bird"
"bella mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bella%20mine"
"beaverhead mining syndicate",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#beaverhead%20mining%20syndicate"
"ruby creek",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ruby%20creek"
"bea-ann",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bea-ann"
"bannack prospect",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bannack%20prospect"
"badger mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#badger%20mine"
"axes canyon deposit",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#axes%20canyon%20deposit"
"aurora",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#aurora"
"associated placers",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#associated%20placers"
"aspen",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#aspen"
"ariadne mine",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ariadne%20mine"
"argyle",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#argyle"
"melrose",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#melrose"
"argerila",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#argerila"
"elkhorn (collidge/wise river)",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#elkhorn%20(collidge/wise%20river)"
"arcadia placer",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#arcadia%20placer"
"grasshopper",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#grasshopper"
"anita",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#anita"
"anaconda",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#anaconda"
"alumont mining company",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#alumont%20mining%20company"
"mccartney mountain",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#mccartney%20mountain"
"alexander",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#alexander"
"bryant park",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#bryant%20park"
"alice",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#alice"
"a jack",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#a%20jack"
"monida ?",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#monida%20?"
"unknown",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#unknown"
"keystone chinatown",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#keystone%20chinatown"
"medicine lodge",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#medicine%20lodge"
"ruby (?)",1,"/Information/Collections/Mine-Files/Beaverhead/browse.html#ruby%20(?)"
